maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
smart,fortwo,74000.0,2003.0,698.0,45.0,compact,black,2018.0,auto,2.0,2.0,gasoline,2016-01-09 03:23:54.832121+00,2016-01-19 16:12:56.831736+00,2499.0
kia,carnival,35210.0,2009.0,2902.0,136.0,van,black,2016.0,auto,4.0,7.0,diesel,2016-01-09 03:51:30.503402+00,2016-01-19 16:13:35.120995+00,12980.0
fiat,panda,12170.0,2011.0,1242.0,51.0,compact,silver,2018.0,man,4.0,4.0,gasoline,2016-01-09 03:51:39.740679+00,2016-01-19 16:13:42.092721+00,5290.0
hyundai,getz,155917.0,2005.0,1341.0,63.0,compact,black,2018.0,man,2.0,5.0,gasoline,2016-01-09 03:51:41.933678+00,2016-01-19 16:13:44.318356+00,2499.0
citroen,jumper,72000.0,2010.0,2198.0,74.0,van,white,2018.0,man,4.0,3.0,diesel,2016-01-09 03:51:46.076359+00,2016-01-19 16:32:56.091317+00,7500.0
citroen,berlingo,223000.0,2006.0,1868.0,51.0,van,white,2018.0,man,2.0,2.0,diesel,2016-01-09 03:51:47.459104+00,2016-07-03 17:06:27.95171+00,1990.0
citroen,c3,92000.0,2003.0,1360.0,54.0,convertible,orange,2018.0,man,2.0,4.0,gasoline,2016-01-09 03:51:47.944916+00,2016-01-19 16:32:58.387989+00,3399.0
smart,fortwo,94000.0,2008.0,999.0,52.0,compact,blue,2018.0,auto,2.0,2.0,gasoline,2016-01-09 03:51:48.093562+00,2016-01-19 16:32:58.793929+00,3999.0
opel,corsa,121000.0,2001.0,973.0,43.0,compact,silver,2018.0,man,4.0,5.0,gasoline,2016-01-09 03:52:31.82144+00,2016-07-03 18:50:08.982584+00,1800.0
ford,ka,75000.0,2004.0,1299.0,44.0,compact,silver,2018.0,man,2.0,4.0,gasoline,2016-01-09 03:52:31.920995+00,2016-01-19 16:33:19.687196+00,1500.0
